Index,Lat,Long,Age_yr,AgeClass,BiomassRoot_gm2,BiomassAGW_gm2,BiomassFoliage_gm2,BiomassFruit_gm2,BiomassTotal_gm2,NPPRoot_gm2y,NPPAGW_gm2y,NPPFoliage_gm2y,NPPFruit_gm2y,NPPTotal_gm2y,Lgs_mo,MAT_C,GST_C,MAinvBT_eV-1,GSinvBT_eV-1,MAP_mm,GSP_mm,LeafType,BiomeClimate,BiomeSource,TEB_DD,Fertility,Source,SourceIndex,SourcePrimary,Methodology for biomass and production
1,50.11,5.01,117,101-200,5300,23850,350,120,29620,168,786,350,124,1304,8,8.733333333,11.825,41.18541202,40.73125796,955.2,628.1,broadleaf,temperate forest,temperate forest,15.5,Med,Cannell (1982),page  25,"Duvigneaud et al. (1969, 1971); Duvigneaud and Kestemont (1977)","Site allometries, root excavation, litterfall traps."
2,50.07,5.15,120,101-200,5120,29820,400,100,35440,80,734,396,102,1210,8,8.733333333,11.825,41.18541202,40.73125796,955.2,628.1,broadleaf,temperate forest,temperate forest,4.7,Low,Cannell (1982),page  25,"Duvigneaud et al. (1969, 1971); Duvigneaud and Kestemont (1977)","Site allometries, root excavation, litterfall traps."
3,50.09,5.06,90,51-100,3110,13020,320,80,16530,103,473,319,79,895,8,8.733333333,11.825,41.18541202,40.73125796,955.2,628.1,broadleaf,temperate forest,temperate forest,15.5,Med,Cannell (1982),page  26,"Duvigneaud et al. (1969, 1971); Duvigneaud and Kestemont (1977)","Site allometries, root excavation, litterfall traps."
4,50.03,4.59,135,101-200,3620,19670,320,80,23690,57,484,316,83,857,9,9.025,11.36666667,41.14297508,40.79828879,1024.8,756.8,broadleaf,temperate forest,temperate forest,15.5,Med,Cannell (1982),page  26,"Duvigneaud et al. (1969, 1971); Duvigneaud and Kestemont (1977)","Site allometries, root excavation, litterfall traps."
5,50.04,4.21,75,51-100,3460,10920,350,50,14780,200,793,653,26,1646,9,9.016666667,11.33333333,41.14384593,40.80286252,1014.5,750,broadleaf,temperate forest,temperate forest,15.5,Med,Cannell (1982),page  28,Froment et al. (1971); Duvigneaud et al. (1969); Ambroes (1969),"Site allometries, root excavation, litterfall traps."
6,45.14,78.32,84,51-100,2800,10540,1590,20,14950,72,306,139,25,517,7,7.708333333,16.5,41.38942845,40.07924428,374.3,223,needle,woodland/shrubland,evergreen Picea forest,21.5,High,Cannell (1982),page  43,Gordon (1981),
7,45.14,78.32,130,101-200,4750,15900,1000,20,21670,65,215,169,5,449,7,7.708333333,16.5,41.38942845,40.07924428,374.3,223,needle,woodland/shrubland,evergreen Picea forest,21.5,High,Cannell (1982),page  43,Gordon (1981),
8,45.14,78.32,212,201+,10450,44080,2120,10,56660,156,741,261,11,1158,7,7.708333333,16.5,41.38942845,40.07924428,374.3,223,needle,woodland/shrubland,evergreen Picea forest,21.5,High,Cannell (1982),page  43,Gordon (1981),
9,45.14,78.32,246,201+,6200,15320,2000,10,23530,106,575,255,38,936,7,7.708333333,16.5,41.38942845,40.07924428,374.3,223,needle,woodland/shrubland,evergreen Picea forest,21.5,High,Cannell (1982),page  43,Gordon (1981),
10,61.37,24.09,40,0-50,2410,8710,290,,11410,185,403,478,6,1066,6,3.5,11.38333333,41.99114362,40.79380965,555.1,351.2,broadleaf,taiga,deciduous Betula forest,2.65,Low,Cannell (1982),page  61,Mälkönen (1977),"Site allometries, root cores and excavation, litterfall traps."
